Gold (OG|GC) G5MQ6 (0.17 DTE) vs 4458.9 (-35.8) - Open Interest
Put: 5,900  Call: 5,557  Vol: 31.69  Vol Chg: 11.71  Future Chg: -35.8
Strike,Call,Put,Vol Settle
4370,0,31,0.21909842275817937
4375,31,57,0.2176591097218079
4380,0,16,0.21622667311658006
4385,0,14,0.21480621733962835
4390,0,25,0.21340269589609306
4395,0,48,0.21202091139139156
4400,169,400,0.2106655155266708
4405,0,54,0.20934100910699271
4410,0,78,0.20805174203815113
4415,1,14,0.20680191333940456
4420,0,40,0.20559557112392213
4425,30,91,0.20443661259423607
4430,0,30,0.2033287840745288
4435,0,17,0.20227568098607662
4440,1,126,0.20128074784042838
4445,0,38,0.20034727827169263
4450,53,400,0.19947841498651542
4455,0,80,0.19867714982547113
4460,0,52,0.19794632371258558
4465,0,28,0.1972886266757996
4470,3,41,0.19670659784787858
4475,33,83,0.196202625456408
4480,8,63,0.19577894684744024
4485,28,91,0.19543764844911493
4490,55,71,0.19518066580849336
4495,29,80,0.19500978355608822
4500,299,643,0.1949266354477004
4505,27,9,0.19493270431757992
4510,17,7,0.19502932211707957
4515,63,132,0.1952176698951007
4520,54,58,0.19549877780445968
4525,71,168,0.195873525090974
4530,19,57,0.19634264011256164
4535,31,36,0.19690670033105562
4540,37,14,0.1975661322912856
4545,11,62,0.1983212116674622
4550,177,122,0.1991720632167926
